House Committee,Female Witnesses,Total Witnesses,Percent Female
Agriculture,7,54,13
Transportation and Infrastructure,34,239,14
Armed Services,44,287,15
Financial Services,34,215,16
Judiciary,84,466,18
Natural Resources,97,530,18
"Science, Space, and Technology",46,246,19
Homeland Security,68,342,20
Rules,56,242,23
Energy and Commerce,214,879,24
Appropriations,92,360,26
Foreign Affairs,136,517,26
Oversight and Government Reform,67,254,26
Small Business,47,168,28
Budget,14,47,30
Veterans' Affairs,143,462,31
House Administration,4,12,33
Ways and Means,40,117,34
Education and the Workforce,55,138,40
